Subject,Run,Mean,Median,Standard Deviation,Minimum,Maximum
Jul_13,1,334.4828483325505,315.0003280433309,78.84921618509365,214.00022286118352,655.5006826425505
Jul_13,2,289.1300308315697,278.5002900319608,51.33701062024777,204.5002129678132,465.00048425444083
X02299,1,302.86950145672307,285.0002968011089,73.24335149268296,201.50020984359102,659.0006862874764
X02299,2,317.62853590856827,289.5003014874422,102.51775489616467,202.5002108849984,618.000643589773
X03004,1,334.4828483325505,315.0003280433309,78.84921618509365,214.00022286118352,655.5006826425505
X03004,2,289.1300308315697,278.5002900319608,51.33701062024777,204.5002129678132,465.00048425444083
X05398,1,313.64271073545996,300.0003124222199,79.10826084189947,203.50021192640583,684.500712843365
X05398,2,304.6564019271855,282.0002936768867,77.90231077263469,201.00020932288732,685.0007133640687
X13844,1,437.840932160788,438.25045639679286,90.17546289219459,230.0002395237019,681.0007091984392
X13844,2,394.90651454452313,393.50040979381174,85.73681979401205,210.50021921625762,623.00064879681
X33332,1,369.55368434792643,365.0003801137009,79.05129910769472,202.00021036429473,635.5006618144024
X33332,2,338.0403520373573,332.2503460076085,60.2520757146484,207.00021557133172,578.5006024541807
X38547,1,409.93632434617444,401.00041760436727,109.22012984078438,226.0002353580723,689.500718050402
X38547,2,403.7324204494923,388.5004045867748,130.2274682960704,200.50020880218364,668.5006961808466
X42448,1,398.48711711465984,384.25040016079333,122.99784076525955,201.50020984359102,697.0007258609576
X42448,2,342.68918666591713,320.75033403142345,96.83100320026453,200.50020880218364,689.0007175296984
X44909,1,438.34636844636185,409.50042645633016,106.61600819096553,255.0002655588869,698.0007269023649
X44909,2,443.0480804406879,418.50043582899673,112.46803898139149,201.50020984359102,695.5007242988464
X48739,1,339.9055263935548,321.7503350728308,87.61309496471829,202.00021036429473,619.0006446311803
X48739,2,308.13493627828393,284.50029628040517,85.05676926853708,203.00021140570212,618.000643589773
X51231,1,464.33156463890475,464.50048373373716,113.49813214109497,218.00022702681312,687.0007154468835
X51231,2,450.0818640669327,445.50046394699655,109.39426634575067,217.5002265061094,687.0007154468835
X85446,1,365.28380286875216,352.00036657540466,86.69563534204461,203.00021140570212,646.5006732698838
X85446,2,363.9778790488618,354.50036917892317,90.29360566938068,200.50020880218364,691.0007196125131
X91583,1,319.63752799449145,302.7503152860902,82.09547777468194,200.50020880218364,612.5006378620322
X91583,2,313.1450629533513,281.7502934165349,106.549327899579,201.50020984359102,688.5007170089947
X98504,1,328.2995843167907,312.00032491843194,70.66849641735377,200.50020880174873,620.5006461919455
X98504,2,322.27569793878763,320.0003332503679,64.83511665119374,202.00021036429473,587.0006113061436
