Subject,Mean,Median,Standard Deviation,Minimum,Maximum
Jul_13,312.6899360268844,297.00030929799766,70.77821910760167,204.5002129678132,655.5006826425505
X02299,305.59747464924425,286.0002978425163,79.6770747937297,201.50020984359102,659.0006862874764
X03004,312.6899360268844,297.00030929799766,70.77821910760167,204.5002129678132,655.5006826425505
X05398,308.6473802508603,293.25030539271995,78.56715970060111,201.00020932288732,685.0007133640687
X13844,416.2214736447965,413.50043062195977,90.54975000426343,210.50021921625762,681.0007091984392
X33332,355.9312064038764,347.0003613683677,73.21735858347093,202.00021036429473,635.5006618144024
X38547,407.1765806198923,394.50041083521916,119.06366351002717,200.50020880218364,689.500718050402
X42448,370.5881518902885,356.2503710013861,114.1521277394056,200.50020880218364,697.0007258609576
X44909,440.76192690216243,414.00043114266344,109.68674591032406,201.50020984359102,698.0007269023649
X48739,321.6841585333259,301.00031346362726,87.57730102151022,202.00021036429473,619.0006446311803
X51231,461.1235168661571,461.00048008881123,112.74447352789099,217.5002265061094,687.0007154468835
X85446,364.608906837801,352.00036657540466,88.57570618219587,200.50020880218364,691.0007196125131
X91583,316.9751502438081,294.2503064341273,92.96001359355704,200.50020880218364,688.5007170089947
X98504,325.22070905692243,317.25033038615265,67.81665709032363,200.50020880174873,620.5006461919455
