Subject,Run,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
Jul_13,1,1,390.323338891095,370.96219998784363,91.10607906272523,260.3852999745868,634.7662000334822,No
Jul_13,1,2,385.2614018509889,369.46340004215017,70.93819949470546,291.1547999829054,654.5537000056356,No
Jul_13,1,3,344.4617327547568,334.0273499779869,69.01399944902077,229.46299996692687,618.7641999567859,No
Jul_13,1,4,417.3948518539503,410.72189999977127,76.10461992733717,312.4716999591328,589.4188999664038,No
Jul_13,2,1,276.8894799926784,276.0402500280179,31.663225497109394,238.31839999184012,357.44559997692704,Yes
Jul_13,2,2,342.20497045845894,341.035350022139,46.941951619930244,256.358300044667,448.5339999664575,Yes
Jul_13,2,3,306.9975250016017,295.8202999725472,47.91807676698621,211.09939995221794,444.6081999922171,No
Jul_13,2,4,308.2888000062667,308.2888000062667,9.113800013437867,299.1749999928288,317.40260001970455,No
X02299,1,1,332.27065688095473,319.14900010451674,50.94094467526579,251.905299955979,506.6910998430103,No
X02299,1,2,341.05321205349577,334.2357500223443,59.31714198288185,236.6425001528114,516.6172999888659,No
X02299,1,3,326.9080912220504,322.8380000218749,39.221716337878675,246.62479991093278,453.67270009592175,Yes
X02299,1,4,303.8445866666734,282.19409997109324,78.54091585796832,216.640800004825,583.6471000220627,No
X02299,2,1,353.90817355979584,338.4121998678893,68.86527606178224,249.3893001228571,627.5585999246687,No
X02299,2,2,337.8552018241449,326.4735999982804,62.144963410266186,236.4240000024438,648.7628999166191,No
X02299,2,3,314.21682705210213,307.87645000964403,50.37157884075676,208.38460000231862,480.39170005358756,Yes
X02299,2,4,282.85127884009853,277.90069999173284,36.76804953204296,222.3435000050813,395.38090000860393,No
X03004,1,1,390.323338891095,370.96219998784363,91.10607906272523,260.3852999745868,634.7662000334822,No
X03004,1,2,385.2614018509889,369.46340004215017,70.93819949470546,291.1547999829054,654.5537000056356,No
X03004,1,3,344.4617327547568,334.0273499779869,69.01399944902077,229.46299996692687,618.7641999567859,No
X03004,1,4,417.3948518539503,410.72189999977127,76.10461992733717,312.4716999591328,589.4188999664038,No
X03004,2,1,276.8894799926784,276.0402500280179,31.663225497109394,238.31839999184012,357.44559997692704,Yes
X03004,2,2,342.20497045845894,341.035350022139,46.941951619930244,256.358300044667,448.5339999664575,Yes
X03004,2,3,306.9975250016017,295.8202999725472,47.91807676698621,211.09939995221794,444.6081999922171,No
X03004,2,4,308.2888000062667,308.2888000062667,9.113800013437867,299.1749999928288,317.40260001970455,No
X05398,1,1,373.48998276564964,358.1914999522269,69.3242383707924,281.7051999736577,632.9328999854624,No
X05398,1,2,380.70028983609023,372.5095000118017,81.75974758166872,254.47339983657002,660.5163000058383,No
X05398,1,3,312.1743583586067,299.21030008699745,61.23275982716609,205.93170006759465,564.8630000650883,No
X05398,1,4,287.185478322984,272.1953501459211,60.74463354911827,205.65360016189516,595.658800099045,No
X05398,2,1,332.26877456862417,312.971199862659,59.396377679684974,262.0151999872178,535.6975998729467,No
X05398,2,2,378.8087654604831,354.11290009506047,67.72302158689075,275.09630005806684,601.9123999867588,No
X05398,2,3,321.6321100092803,313.78084991592914,70.80128897108901,217.94290002435446,581.8173000589013,No
X05398,2,4,280.11090498184785,262.92600005399436,56.41838849925134,209.88620002754033,607.9901999328285,No
X13844,1,1,586.2419485029849,599.5977998245507,65.72515170347195,386.814400088042,681.7363000009209,Yes
X13844,1,2,595.9937133593485,606.193850049749,55.44056816171111,453.69260013103485,677.8647999744862,Yes
X13844,1,3,563.2947065219607,562.2309999307618,68.37463842632712,429.6381000895053,692.9134000092745,Yes
X13844,1,4,531.643782924043,534.6160000190139,75.43685868316646,359.9403998814523,683.7365999817848,Yes
X13844,2,1,558.5985000202941,560.4613999603316,73.45625521519352,419.9723999481648,687.8804001025856,Yes
X13844,2,2,537.8443647093852,529.8510000575334,71.57094120410312,372.9296999517828,696.9979000277817,Yes
X13844,2,3,484.2200999889799,474.512750050053,64.45353599940981,390.9055001568049,677.9216998256743,No
X13844,2,4,473.8542517117257,478.09450002387166,74.15156737100911,330.0124001689255,642.9572999477386,Yes
x24208,1,1,453.453800000716,453.453800000716,0.0,453.453800000716,453.453800000716,No
x24208,1,2,nan,nan,nan,nan,nan,No
x24208,1,3,nan,nan,nan,nan,nan,No
x24208,1,4,422.4820000017644,422.4820000017644,0.0,422.4820000017644,422.4820000017644,No
X24208,2,1,nan,nan,nan,nan,nan,No
X24208,2,2,nan,nan,nan,nan,nan,No
X24208,2,3,nan,nan,nan,nan,nan,No
X24208,2,4,nan,nan,nan,nan,nan,No
X33332,1,1,550.2856000013456,559.0305000077933,67.30239179971743,443.9271999290213,680.5942000355572,Yes
X33332,1,2,514.0586730737525,509.22050001099706,68.8613422090487,369.0823999932036,661.4415999501944,Yes
X33332,1,3,509.54840384656563,515.3141000191681,50.548767134255094,389.7783999564126,601.4613000443205,Yes
X33332,1,4,519.9394781229785,521.1637999746017,79.26477906521815,323.8048000494018,660.1485999999568,Yes
X33332,2,1,467.26839427969287,465.61009995639324,58.31764131835424,336.04289998766035,653.508499963209,Yes
X33332,2,2,439.81139166862704,426.3799999607727,58.83704721574397,339.0216000843793,587.4977000057697,Yes
X33332,2,3,452.0507142934505,431.90409999806434,66.90662943331215,359.9428000161424,658.4590999409556,No
X33332,2,4,411.538752503111,399.093400046695,50.955553914925325,348.9062999142334,579.7085999511182,No
X37945,1,1,454.61347959182456,437.7196000004915,92.43345162397114,272.7858999996897,678.479299999708,Yes
X37945,1,2,460.23083999999386,446.71999999991385,88.6245026544271,291.68530000060855,666.8307999998433,Yes
X37945,1,3,431.4083290908953,426.54339999990043,74.74661411093005,241.56409999977768,626.6817000005176,Yes
X37945,1,4,402.6396827586472,398.6461499998768,90.27811255963726,212.67409999927622,664.7596000002522,Yes
X37945,2,1,445.6742666666526,429.14659999951255,101.891349477384,238.02490000161924,677.2746999995434,No
X37945,2,2,461.38260925925823,448.1671500006996,94.45447269922246,290.2718000004825,682.4441999997362,Yes
X37945,2,3,431.5537101695446,423.4323000000586,81.60958234120035,265.3907000003528,669.0732000006392,Yes
