Subject,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
Jul_13,1,349.8112464273748,338.02450000075623,92.99563923952067,238.31839999184012,634.7662000334822,No
Jul_13,2,365.9299428584244,355.8587999723386,64.96804053969942,256.358300044667,654.5537000056356,No
Jul_13,3,326.0582622795227,319.141749991104,62.46566517169017,211.09939995221794,618.7641999567859,No
Jul_13,4,409.87029655411004,401.7545999959111,78.50194165516095,299.1749999928288,589.4188999664038,No
X03004,1,349.8112464273748,338.02450000075623,92.99563923952067,238.31839999184012,634.7662000334822,No
X03004,2,365.9299428584244,355.8587999723386,64.96804053969942,256.358300044667,654.5537000056356,No
X03004,3,326.0582622795227,319.141749991104,62.46566517169017,211.09939995221794,618.7641999567859,No
X03004,4,409.87029655411004,401.7545999959111,78.50194165516095,299.1749999928288,589.4188999664038,No
X05398,1,352.7032196577479,340.763800079003,67.72144877980625,262.0151999872178,632.9328999854624,No
X05398,2,379.7877122864552,361.03965004440397,75.32089174883889,254.47339983657002,660.5163000058383,No
X05398,3,316.90323418394354,306.7385000176728,66.35886500371284,205.93170006759465,581.8173000589013,No
X05398,4,283.64819165241596,267.7144999615848,58.72805913636461,205.65360016189516,607.9901999328285,No
X13844,1,575.1845691099086,588.9526999089867,70.23962108757523,386.814400088042,687.8804001025856,Yes
X13844,2,559.3811605056679,565.0593999307603,71.77829048968218,372.9296999517828,696.9979000277817,Yes
X13844,3,520.594418994151,504.87844995222986,77.11702345425441,390.9055001568049,692.9134000092745,No
X13844,4,507.7024057075115,503.9604000048712,80.13387891824101,330.0124001689255,683.7365999817848,Yes
x24208,1,453.453800000716,453.453800000716,0.0,453.453800000716,453.453800000716,Not enough data
x24208,2,nan,nan,nan,nan,nan,Not enough data
x24208,3,nan,nan,nan,nan,nan,Not enough data
x24208,4,422.4820000017644,422.4820000017644,0.0,422.4820000017644,422.4820000017644,Not enough data
X24208,1,nan,nan,nan,nan,nan,Not enough data
X24208,2,nan,nan,nan,nan,nan,Not enough data
X24208,3,nan,nan,nan,nan,nan,Not enough data
X24208,4,nan,nan,nan,nan,nan,Not enough data
X33332,1,504.8855656223168,491.1466999328695,74.96795536784884,336.04289998766035,680.5942000355572,Yes
X33332,2,465.898274324482,455.75890003237873,71.88819691926253,339.0216000843793,661.4415999501944,Yes
X33332,3,474.0351250049357,466.9323000125587,67.25037934137681,359.9428000161424,658.4590999409556,Yes
X33332,4,459.7168527786077,447.9566499358043,84.47660315085838,323.8048000494018,660.1485999999568,No
X37945,1,449.80654433960945,430.14784999922995,97.7349144490467,238.02490000161924,678.479299999708,No
X37945,2,460.8014412844001,446.74380000014935,91.5609659150285,290.2718000004825,682.4441999997362,No
X37945,3,431.4835701754594,426.5385500002594,78.37359983061742,241.56409999977768,669.0732000006392,Yes
X37945,4,382.8788767857856,372.2375000002103,99.82626910875067,212.67409999927622,683.1488000007084,No
X38547,1,466.11441249842755,458.66640005260706,84.55595881620991,250.99399988539517,688.5480999480933,Yes
X38547,2,393.3248891332467,388.6605999432504,75.57792670786004,266.1702998448163,654.8876999877393,No
X38547,3,350.31481303504086,336.58910007216036,90.74399044183775,218.17749994806945,675.1254999544472,No
X38547,4,400.66216396469923,384.01050004176795,88.47547704076122,252.42789997719228,674.1005999501795,No
X42448,1,426.4846999999645,418.8065999999253,78.99612488153879,310.27110000013636,678.238599999986,No
X42448,2,458.43999999993474,451.13004999984696,85.8754618116336,303.8712999996278,630.4882999993424,Yes
X42448,3,425.21163684211405,419.24280000012004,81.12057693912655,274.2798999997831,625.4555000000437,Yes
X42448,4,384.32228928573005,377.6202500000636,63.44236752866072,275.1581000002261,602.2038000000975,No
X44909,1,543.811143747007,545.2261500176974,97.44404357354516,333.87640002183616,689.7394999396056,Yes
X44909,2,498.3187000049899,479.7639000462368,86.20409372194926,353.3545999089256,694.3307999754325,No
X44909,3,459.71829882165525,438.9534000074491,91.97239879418706,302.27230000309646,688.1203000666574,No
X44909,4,479.0667780311551,460.45620006043464,84.97265290633486,363.4868999943137,693.1309000356123,No
X55579,1,389.34328969077524,376.2803999998141,68.00892252833607,292.39619999862043,650.2878999999666,No
X55579,2,387.9884177570764,388.40840000011667,59.6616355079792,268.7619000007544,550.0391000005038,No
X55579,3,364.73826874997224,358.9345999998841,54.75333213721557,254.05070000124397,575.1314999997703,No
X55579,4,347.7744146789811,336.465300000782,60.80163011404188,248.4268999996857,600.6230000002688,No
X58086,1,456.85994072765527,439.0221999492496,81.33999978027143,302.6073999935761,659.1283000307158,No
X58086,2,427.1018865267531,419.3783999653533,66.84247933721025,291.60370002500713,562.6190999755636,Yes
X58086,3,370.48721635629505,360.5570000363514,73.50425970335674,280.6153000565246,610.6261999811977,No
X58086,4,420.9875666614001,410.61689995694906,82.43104998921773,288.67559996433556,657.098799943924,No
X61122,1,501.8878108003756,493.4303000336513,69.43377839424654,304.3742999434471,661.8780000135303,Yes
X61122,2,380.9253128233533,376.4076998922974,68.65526303814283,252.37620016559958,615.3311000671238,No
X61122,3,346.85133360991523,338.8006999157369,63.229263656063125,246.3302998803556,650.3346001263708,No
X61122,4,383.8283127893932,367.0905999606475,64.365897224943,298.3450999017805,623.308900045231,No
X64181,1,393.15983771934714,390.5823000241071,63.48095526450773,206.93920040503144,537.1869001537561,Yes
X64181,2,322.1564135490522,308.48110001534224,78.10568366709512,205.12339984998107,659.0927997604012,No
X64181,3,309.09256608683177,303.9353999774903,51.23476867382771,217.07600029185414,524.7923000715673,No
X64181,4,317.2025415351835,310.33755000680685,60.1094354152175,205.1868000999093,584.7872998565435,No
X70786,1,419.3449189649606,413.9342999551445,81.3492587307663,228.0437999870628,697.5430999882519,No
X70786,2,440.55475657476546,424.89539994858205,91.6498926878766,233.58249990269542,692.7732001058757,No
X70786,3,356.75213298527524,348.3621501363814,73.37037128303042,221.62319999188185,562.6805999781936,No
X70786,4,341.47453812045694,334.0578000061214,79.11756967914373,203.15980003215373,602.6832000352442,No
X72350,1,403.2556864342226,398.43780000228435,67.11417528208464,231.12690006382763,650.2501000650227,Yes
X72350,2,452.0845219407133,442.1269999584183,77.79075486430776,302.6427999138832,687.1376000344753,No
X72350,3,368.9512381176227,346.9275499228388,92.80240266943854,240.5163999646902,698.6811999231577,No
X72350,4,378.1736398281498,363.86979988310486,77.8871308336796,254.5139999128878,672.2397999837995,No
X85446,1,440.0991770511476,437.15450004674494,64.15739266537113,257.0870998315513,633.3731999620795,No
X85446,2,412.3029145475646,398.6591499997303,81.10552133354484,294.31849997490644,670.3288999851793,No
X85446,3,389.50548760725985,376.0830000974238,85.44376070692213,210.0884998217225,688.3491999469697,No
X85446,4,395.7386823797909,378.36215004790574,88.81306933017295,241.12259992398322,686.3391001243144,No
X86768,1,369.68060169108526,356.5649000229314,74.99922202622733,262.896699947305,624.8996000504121,No
X86768,2,332.5098183335892,324.3964000721462,58.41725538534373,228.0752999940887,549.290299997665,No
X86768,3,334.0186813601561,338.48220005165786,54.90623989262486,224.12080003414303,469.51339999213815,Yes
X86768,4,298.67944575380534,291.5274000260979,65.676341624317,218.5324999736622,621.4759999420494,No
X87678,1,341.856413554416,324.680200079456,78.24806210461871,234.56460004672408,630.4399999789894,No
X87678,2,353.453467242773,334.34775000205263,77.04051660085563,256.57530000898987,586.8265000171959,No
X87678,3,325.28509999780607,311.71390000963584,62.520347172696056,234.55910000484437,560.2326000807807,No
X87678,4,286.1971517197852,271.2222500122152,65.9426857620351,205.9542000060901,557.0117000024766,No
X91583,1,417.44544954517636,420.00330006703734,69.93670592854286,228.1348000979051,659.7126999404281,Yes
X91583,2,318.2326374974634,312.3073999886401,63.57600330577871,210.2085999213159,559.8017000593245,No
X91583,3,250.29692573514353,235.74620008002967,60.84746393752796,202.86329998634756,601.3570999493822,No
X91583,4,396.0286333286031,388.7028000317514,68.80716126927382,213.91809999477118,637.0593999745324,No
X98504,1,355.08840166342753,351.3374999165535,49.70448326169637,270.3785998746753,516.7428001295775,No
X98504,2,384.0176594603035,371.8006000854075,73.46465907504385,259.76529996842146,645.6969999708235,No
X98504,3,330.660683823572,320.00990002416074,54.433845684744455,242.09369998425245,563.5482999496162,No
